id,일자,시도명,읍면동명,거주인구,근무인구,방문인구,총 유동인구,평균 속도,평균 소요 시간,평균 기온,일강수량,평균 풍속
22448,2018-01-01,제주시,도두동,32249.987,3418.2659999999996,102709.09199999999,138377.345,39.556,29.167,5.0,0.0,2.5
22449,2018-01-01,제주시,외도동,213500.997,10341.171999999999,112692.789,336534.958,32.9,30.9,5.0,0.0,2.5
22450,2018-01-01,제주시,이도2동,1212382.2179999999,96920.834,541194.481,1850497.533,29.538,35.692,2.9,0.0,2.4
22451,2018-01-01,제주시,일도1동,33991.653,6034.253000000002,72155.91900000001,112181.825,30.0,23.5,2.9,0.0,2.4
22452,2018-01-01,서귀포시,대천동,155036.925,9403.969000000001,150882.409,315323.303,41.583,14.375,5.1,0.0,2.3
22453,2018-01-01,서귀포시,서홍동,119524.383,5616.1309999999985,77338.336,202478.85100000002,38.222,28.0,4.9,0.0,1.9
22454,2018-01-01,제주시,한경면,129495.528,7366.7419999999975,78477.173,215339.443,51.929,44.643,4.45,0.0,3.4
22455,2018-01-01,서귀포시,송산동,208450.018,14082.388,102708.21800000001,325240.624,46.805,29.683000000000003,4.9,0.0,1.9
22456,2018-01-01,제주시,조천읍,425840.30600000004,31366.81,338337.205,795544.32,51.629,47.429,1.967,0.0,3.367
22457,2018-01-01,제주시,일도2동,721304.848,31018.811,252537.94,1004861.6,29.727,38.273,2.9,0.0,2.4
22458,2018-01-01,서귀포시,영천동,85615.511,8013.388000000001,97996.18,191625.079,41.261,18.087,4.9,0.0,1.9
22459,2018-01-01,서귀포시,예래동,68746.872,20716.569,210986.83800000002,300450.279,47.467,48.633,3.95,0.0,3.05
22460,2018-01-01,서귀포시,대륜동,267671.778,20177.907,212778.579,500628.26399999997,39.185,33.63,4.9,0.0,1.9
22461,2018-01-01,제주시,삼도1동,220142.97699999998,12879.913999999999,137055.81,370078.7020000001,29.25,26.875,2.9,0.0,2.4
22462,2018-01-02,제주시,이호동,69835.852,7566.675,68212.73,145615.25699999998,26.0,22.333,6.0,0.0,2.1
22463,2018-01-02,제주시,건입동,166314.614,26391.276,163786.671,356492.561,32.0,46.6,1.0,0.0,1.5
