id,일자,시도명,읍면동명,거주인구,근무인구,방문인구,총 유동인구,평균 속도,평균 소요 시간,평균 기온,일강수량,평균 풍속
0,2018-01-01,서귀포시,남원읍,291408.897,18744.131,219588.857,529741.884,53.0,40.571,2.35,0.0,3.325
1,2018-01-01,제주시,노형동,1215420.248,74964.858,445735.32899999997,1736120.435,38.563,30.655,-2.3,0.0,1.1
2,2018-01-01,제주시,구좌읍,276220.023,17542.105,248104.122,541866.25,53.188,40.719,5.9,0.0,4.1
3,2018-01-01,제주시,용담1동,159129.79,9363.622,101939.586,270432.998,35.833,14.0,2.9,0.0,2.4
4,2018-01-01,제주시,건입동,174544.301,19772.091,191560.90399999998,385877.295,33.6,43.4,0.8,0.0,2.6
5,2018-01-01,제주시,용담2동,251966.83800000002,44610.527,289235.033,585812.3979999999,30.727,27.364,2.9,0.0,2.4
6,2018-01-01,서귀포시,효돈동,91129.741,4398.469,45366.822,140895.032,40.667,19.467,2.35,0.0,3.325
7,2018-01-01,서귀포시,표선면,197549.108,15737.64,189522.682,402809.43,49.114,34.429,4.8,0.0,3.1
8,2018-01-01,제주시,이도1동,157252.422,17885.87,166599.678,341737.97,34.375,19.0,2.9,0.0,2.4
9,2018-01-01,서귀포시,천지동,68974.523,3660.825,63430.316,136065.664,48.42100000000001,26.211,4.9,0.0,1.9
10,2018-01-01,서귀포시,중앙동,43942.828,9546.455,94766.72,148256.003,60.857,31.571,4.9,0.0,1.9
11,2018-01-01,서귀포시,중문동,168209.74800000002,12244.719,130876.30699999999,311330.774,49.667,42.556,-2.7,0.0,3.2
12,2018-01-01,제주시,이호동,74721.497,4542.299,84105.42,163369.216,28.0,18.444000000000006,5.0,0.0,2.5
13,2018-01-01,서귀포시,정방동,49091.055,8457.47,112758.325,170306.85,61.25,28.0,4.9,0.0,1.9
14,2018-01-01,제주시,화북동,598089.251,24069.487,191535.629,813694.368,35.077,30.192,1.967,0.0,3.367
15,2018-01-01,서귀포시,대정읍,385419.30600000004,16536.359,161422.712,563378.377,54.632,42.57899999999999,6.632999999999999,0.0,6.367000000000001
16,2018-01-01,서귀포시,동홍동,372744.391,26351.697999999997,160768.25699999998,559864.346,39.667,30.476,4.9,0.0,1.9
17,2018-01-01,제주시,한림읍,446310.336,26515.501,203424.87699999998,676250.715,50.458,62.653,4.45,0.0,3.4
18,2018-01-01,제주시,오라동,303847.494,22012.207000000002,250576.34699999998,576436.049,35.5,45.188,2.9,0.0,2.4
19,2018-01-01,서귀포시,안덕면,252460.823,32863.286,264398.105,549722.213,51.0,45.286,5.1,0.0,3.1
20,2018-01-01,서귀포시,성산읍,291984.7,20382.502,378011.935,690379.1379999999,48.217,55.69600000000001,4.8,0.0,3.1
21,2018-01-01,제주시,봉개동,76694.36,7398.681,101132.897,185225.938,35.909,56.273,0.8,0.0,2.6
22,2018-01-01,제주시,연동,1075224.629,93029.133,495901.218,1664154.98,40.0,35.302,-2.3,0.0,1.1
23,2018-01-01,제주시,삼도2동,107594.515,9755.741,139068.314,256418.57,31.333,14.0,2.9,0.0,2.4
24,2018-01-01,제주시,애월읍,770377.449,55785.154,570884.457,1397047.06,52.337,52.902,-2.425,0.0,3.833
25,2018-01-01,제주시,삼양동,459244.768,11294.056999999999,110523.367,581062.191,33.714,15.571,1.967,0.0,3.367
26,2018-01-01,제주시,아라동,756175.984,42382.861,251745.135,1050303.98,40.444,56.519,-0.633,0.0,1.733
27,2018-01-02,서귀포시,동홍동,384966.285,36746.627,166627.755,588340.667,39.571,31.476,7.2,0.0,1.6
28,2018-01-02,서귀포시,중문동,167473.708,15602.059,114617.886,297693.654,49.722,42.222,0.0,0.0,1.9
29,2018-01-02,제주시,연동,1084870.416,146199.731,542476.851,1773546.9980000001,37.547,38.698,-0.4,0.0,0.6
30,2018-01-02,제주시,용담2동,239448.06,54355.431,286167.631,579971.121,28.636,30.455,3.8,0.0,2.7
31,2018-01-02,제주시,한림읍,449422.597,47793.99400000001,183097.168,680313.76,50.583,62.486,5.6,0.0,2.75
32,2018-01-02,서귀포시,효돈동,89649.315,6276.255,37765.467000000004,133691.03699999998,39.2,20.333,4.2,0.0,2.8
33,2018-01-02,제주시,한경면,130878.088,10619.505,59599.794,201097.387,51.75,44.607,5.6,0.0,2.75
34,2018-01-02,서귀포시,서홍동,118550.87,7866.81,75425.62400000001,201843.305,38.111,28.333,7.2,0.0,1.6
35,2018-01-02,서귀포시,표선면,199860.13,21478.324,136527.45,357865.904,48.94300000000001,35.029,5.3,0.0,2.8
36,2018-01-02,서귀포시,대륜동,274275.002,28550.465,184505.763,487331.231,38.852,33.222,7.2,0.0,1.6
37,2018-01-02,제주시,이도2동,1241989.825,178846.35,599795.919,2020632.094,27.692,40.5,3.8,0.0,2.7
38,2018-01-02,제주시,아라동,758664.9720000002,119335.07800000001,273869.538,1151869.588,39.444,61.111,1.2,0.0,2.4330000000000003
39,2018-01-02,서귀포시,성산읍,290422.11100000003,23275.891,201836.665,515534.666,47.913,56.043,5.3,0.0,2.8
40,2018-01-02,제주시,용담1동,155048.003,14697.818000000001,104447.964,274193.785,32.667,16.5,3.8,0.0,2.7
41,2018-01-02,서귀포시,천지동,68871.407,4953.706,61727.87,135552.984,48.21100000000001,26.684,7.2,0.0,1.6
42,2018-01-02,제주시,화북동,586832.39,60614.573,202753.548,850200.5109999998,32.538000000000004,35.885,2.8,0.0,1.9
43,2018-01-02,제주시,외도동,212709.72199999998,13519.313999999995,107651.5,333880.535,30.75,34.0,6.0,0.0,2.1
44,2018-01-02,제주시,구좌읍,277630.347,34531.092000000004,158864.256,471025.695,53.90600000000001,40.688,6.1,0.0,2.367
45,2018-01-02,서귀포시,안덕면,263414.97,44411.715,202560.937,510387.62100000004,50.964,45.107,6.4,0.0,2.5
46,2018-01-02,제주시,일도2동,689902.938,42871.795,246141.12,978915.853,28.364,42.81800000000001,3.8,0.0,2.7
47,2018-01-02,제주시,일도1동,34692.393,7276.959,73060.979,115030.33099999999,28.5,25.0,3.8,0.0,2.7
48,2018-01-02,서귀포시,예래동,68975.211,23768.147999999997,174695.85,267439.209,47.1,48.1,5.8,0.0,2.05
49,2018-01-02,제주시,도두동,29946.856,5222.022,97561.004,132729.883,36.556,38.722,6.0,0.0,2.1
50,2018-01-02,제주시,오라동,300713.432,41766.74,276094.76,618574.931,34.125,45.375,3.8,0.0,2.7
51,2018-01-02,제주시,노형동,1232528.649,137467.968,498926.734,1868923.351,36.655,34.861999999999995,-0.4,0.0,0.6
52,2018-01-02,제주시,봉개동,74263.13900000001,17389.182,95115.129,186767.45,34.0,58.182,1.0,0.0,1.5
53,2018-01-02,서귀포시,대천동,158885.753,15172.747,133694.82,307753.32,41.208,14.375,0.0,0.0,0.0
54,2018-01-02,제주시,애월읍,757075.5059999998,81832.129,475251.81200000003,1314159.447,52.707,52.511,-0.1,0.0,2.45
55,2018-01-03,제주시,일도2동,688462.95,41396.607,251979.391,981838.948,27.909,42.636,2.5,0.0,2.0
56,2018-01-03,서귀포시,영천동,84161.788,19801.552,92637.677,196601.016,39.826,18.783,7.6,0.0,1.1
57,2018-01-03,제주시,삼양동,442955.198,22199.211,97963.66699999999,563118.077,30.714,17.285999999999998,1.033,0.0,4.467
58,2018-01-03,서귀포시,안덕면,270657.397,47403.390999999996,207546.87300000002,525607.661,50.75,45.357,3.9,0.0,5.9
59,2018-01-03,서귀포시,성산읍,287387.654,22660.101000000002,199538.203,509585.959,47.435,57.13,4.0,0.0,5.0
60,2018-01-03,제주시,일도1동,34176.012,8116.37,72893.99799999999,115186.38,28.0,25.25,2.5,0.0,2.0
61,2018-01-03,서귀포시,송산동,213128.18,19839.319,102705.274,335672.774,45.82899999999999,30.878,7.6,0.0,1.1
62,2018-01-03,서귀포시,중문동,167623.105,14797.124,116974.375,299394.605,48.944,43.333,-0.4,0.0,4.0
63,2018-01-03,제주시,애월읍,750592.667,78534.805,477284.734,1306412.206,52.0,53.152,-1.875,0.0,4.75
64,2018-01-03,제주시,이호동,70182.555,7329.823,68690.22,146202.598,26.889,20.778,4.1,0.0,2.6
65,2018-01-03,서귀포시,정방동,49364.845,8786.591999999999,94332.729,152484.166,60.5,28.625,7.6,0.0,1.1
66,2018-01-03,서귀포시,예래동,68091.864,23921.966,179556.29100000003,271570.12100000004,46.867,48.8,6.0,0.0,3.1
67,2018-01-03,서귀포시,중앙동,44654.246,13356.998,109947.375,167958.61899999998,60.0,32.286,7.6,0.0,1.1
68,2018-01-03,제주시,이도2동,1234013.663,172436.634,596968.775,2003419.073,28.231,40.269,2.5,0.0,2.0
69,2018-01-03,제주시,한경면,130393.614,10189.598,60991.740999999995,201574.953,51.32100000000001,44.964,3.35,0.0,5.25
70,2018-01-03,제주시,봉개동,76376.867,24645.036,101631.33,202653.234,34.181999999999995,58.364,0.0,0.0,3.4
71,2018-01-03,제주시,오라동,300521.19800000003,44741.45,283971.175,629233.824,34.75,45.25,2.5,0.0,2.0
72,2018-01-03,제주시,화북동,583503.23,60128.82,206573.49899999998,850205.5490000001,32.5,35.808,1.033,0.0,4.467
73,2018-01-03,제주시,도두동,30736.896,5329.7959999999985,83420.951,119487.64300000001,36.111,38.778,4.1,0.0,2.6
74,2018-01-03,제주시,삼도1동,211974.34100000001,18931.27,148294.362,379199.972,28.25,28.25,2.5,0.0,2.0
75,2018-01-03,제주시,외도동,211070.247,13972.758,108937.341,333980.347,30.3,34.4,4.1,0.0,2.6
76,2018-01-03,서귀포시,남원읍,287121.506,27767.075,181151.435,496040.016,52.371,41.514,3.575,0.0,3.925
77,2018-01-03,서귀포시,대정읍,385155.57899999997,23770.142000000003,118579.569,527505.289,54.053,43.526,5.8,0.0,9.467
78,2018-01-03,제주시,노형동,1227270.595,134733.50699999998,487082.809,1849086.9109999998,36.94300000000001,34.425,-0.9,0.0,1.1
79,2018-01-03,제주시,구좌읍,273144.837,34673.179,154439.62099999998,462257.6370000001,53.094,40.969,4.4,0.0,5.367000000000001
80,2018-01-03,서귀포시,대천동,155326.811,14700.66,139047.416,309074.887,40.542,14.958,7.4,0.0,1.8
81,2018-01-03,서귀포시,천지동,68025.729,5023.154,59414.066,132462.949,47.474,27.368,7.6,0.0,1.1
82,2018-01-03,제주시,용담1동,152904.033,14995.435,101415.881,269315.349,33.333,15.833,2.5,0.0,2.0
83,2018-01-03,서귀포시,동홍동,384305.781,37249.301,169612.99899999998,591168.081,39.048,32.143,7.6,0.0,1.1
84,2018-01-03,서귀포시,표선면,197534.475,20650.895,128202.93199999999,346388.302,48.457,35.171,4.0,0.0,5.0
85,2018-01-03,제주시,이도1동,158896.828,37530.962,184044.423,380472.21200000006,32.625,21.375,2.5,0.0,2.0
86,2018-01-03,제주시,연동,1082305.138,142912.646,527997.589,1753215.372,38.302,37.547,-0.9,0.0,1.1
87,2018-01-03,제주시,용담2동,240336.457,54771.234000000004,286341.109,581448.8,28.455,29.727,2.5,0.0,2.0
88,2018-01-03,서귀포시,서홍동,117042.63699999999,7659.206,73418.13799999999,198119.98100000003,37.0,29.778,7.6,0.0,1.1
89,2018-01-03,제주시,한림읍,454149.401,47676.467000000004,196171.775,697997.6429999999,50.236,62.597,3.35,0.0,5.25
90,2018-01-04,제주시,조천읍,399248.533,51072.685,255601.60199999998,705922.82,51.8,46.6,0.433,0.667,2.867
91,2018-01-04,서귀포시,서홍동,110982.425,8580.493,85848.352,205411.26899999997,37.444,29.111,6.9,5.0,1.4
92,2018-01-04,제주시,화북동,574706.34,61213.609000000004,220784.378,856704.327,32.615,35.077,0.433,0.667,2.867
93,2018-01-04,제주시,아라동,745211.693,116802.987,278975.456,1140990.136,39.259,61.148,-0.067,1.5,1.6669999999999998
94,2018-01-04,서귀포시,동홍동,372252.485,37768.015,184576.22699999998,594596.7270000001,38.381,32.286,6.9,5.0,1.4
95,2018-01-04,서귀포시,성산읍,277789.808,22848.632,204532.171,505170.61,47.913,56.739,3.1,1.0,5.0
96,2018-01-04,서귀포시,대정읍,379281.95700000005,22852.369,124198.026,526332.351,54.053,43.632,4.8,3.167,9.233
97,2018-01-04,서귀포시,남원읍,279036.104,27045.987,188198.647,494280.73799999995,52.143,41.514,3.2,1.625,2.45
98,2018-01-04,서귀포시,대천동,151048.801,14351.556999999999,146331.52300000002,311731.881,40.583,15.083,6.4,4.0,1.7
99,2018-01-04,서귀포시,송산동,206345.018,20009.621,111797.96800000001,338152.607,45.317,31.268,6.9,5.0,1.4
100,2018-01-04,서귀포시,안덕면,274482.911,52872.08900000001,219435.318,546790.319,50.857,45.536,2.9,3.0,5.9
101,2018-01-04,제주시,삼양동,420042.04299999995,21579.717,99755.54199999999,541377.302,31.143,17.143,0.433,0.667,2.867
102,2018-01-04,제주시,봉개동,73183.043,18151.728,102009.05,193343.82100000003,34.364000000000004,60.81800000000001,-1.1,1.0,2.1
103,2018-01-04,서귀포시,천지동,64014.147000000004,5385.633000000002,68931.299,138331.079,47.526,27.474,6.9,5.0,1.4
104,2018-01-04,제주시,삼도2동,92839.719,13029.872,134339.678,240209.26899999997,28.667,17.333,1.5,1.0,1.4
105,2018-01-04,제주시,이도2동,1198250.447,174728.015,622911.306,1995889.7680000002,28.154,39.192,1.5,1.0,1.4
106,2018-01-04,서귀포시,중앙동,37940.297999999995,12905.565,109379.39199999999,160225.255,59.143,33.571,6.9,5.0,1.4
107,2018-01-04,제주시,이도1동,149104.247,37505.291,187525.615,374135.153,31.875,21.625,1.5,1.0,1.4
108,2018-01-04,서귀포시,표선면,189222.224,21084.235,127703.08,338009.539,48.371,35.514,3.1,1.0,5.0
109,2018-01-04,제주시,노형동,1199623.7959999999,130528.125,502313.50899999996,1832465.43,36.805,34.092,-1.8,1.5,0.0
110,2018-01-04,서귀포시,영천동,80482.851,19235.411,98824.144,198542.405,40.391,19.043,6.9,5.0,1.4
111,2018-01-04,서귀포시,중문동,163893.003,14571.677,117174.088,295638.768,48.0,48.556,-0.2,2.5,1.4
112,2018-01-04,서귀포시,효돈동,85406.26699999999,5866.059,37502.551,128774.877,39.133,20.533,3.2,1.625,2.45
113,2018-01-04,제주시,연동,1054128.466,140495.321,538182.252,1732806.04,38.113,37.925,-1.8,1.5,0.0
114,2018-01-04,제주시,애월읍,716162.473,81099.037,483264.191,1280525.7,52.283,53.022,-1.175,1.25,2.7
115,2018-01-04,제주시,이호동,66598.453,7277.651999999999,69156.079,143032.184,25.44400000000001,22.0,3.3,0.5,1.8
116,2018-01-04,제주시,도두동,30718.83,5292.88,83997.039,120008.74900000001,35.389,42.889,3.3,0.5,1.8
117,2018-01-04,서귀포시,정방동,44048.557,9161.466,91856.013,145066.036,59.5,29.875,6.9,5.0,1.4
118,2018-01-04,제주시,일도1동,30798.4,8051.823,73878.993,112729.216,26.5,27.25,1.5,1.0,1.4
119,2018-01-04,제주시,용담2동,230281.705,52408.08900000001,277232.909,559922.703,28.091,29.909,1.5,1.0,1.4
120,2018-01-04,제주시,삼도1동,203371.58899999998,18029.368000000002,157635.499,379036.45700000005,27.625,29.625,1.5,1.0,1.4
121,2018-01-05,제주시,아라동,747235.916,110395.314,265872.632,1123503.862,37.963,66.185,-0.933,3.667,2.233
122,2018-01-05,서귀포시,영천동,86316.038,18512.494,83289.322,188117.854,41.0,17.957,5.8,4.5,2.4
123,2018-01-05,서귀포시,대정읍,386137.075,21828.116,123131.08,531096.2710000001,54.474,43.0,5.7,3.0,8.267000000000001
124,2018-01-05,제주시,구좌읍,270955.42100000003,32849.453,167897.366,471702.24,52.75,41.438,4.367,3.0,4.7
125,2018-01-05,제주시,삼도1동,211718.342,18934.07,148143.869,378796.281,27.5,29.375,2.2,3.5,2.4
126,2018-01-05,제주시,노형동,1210316.32,134131.156,502045.25700000004,1846492.733,36.322,34.483000000000004,-1.7,3.5,0.0
127,2018-01-05,제주시,도두동,30537.493,5055.674,79095.937,114689.104,34.5,45.944,4.2,4.0,3.1
128,2018-01-05,제주시,오라동,298286.215,42751.984000000004,283964.364,625002.562,34.062,45.812,2.2,3.5,2.4
129,2018-01-05,제주시,건입동,163381.827,25005.131,160446.693,348833.651,31.2,46.4,-0.4,4.5,3.2
130,2018-01-05,제주시,한림읍,442839.479,41315.832,205011.10600000003,689166.417,49.819,63.139,2.9,2.0,4.05
131,2018-01-05,제주시,일도2동,678778.1009999999,41656.739,255591.545,976026.385,28.0,41.455,2.2,3.5,2.4
132,2018-01-05,서귀포시,안덕면,284326.947,53043.505999999994,214976.2,552346.6529999999,50.357,45.607,3.6,3.5,4.9
133,2018-01-05,서귀포시,예래동,67602.477,23014.376,182219.61800000002,272836.471,46.867,48.367,2.85,3.0,3.9
134,2018-01-05,제주시,일도1동,34233.638999999996,8301.346,68156.835,110691.82,27.0,25.75,2.2,3.5,2.4
135,2018-01-05,제주시,봉개동,74437.07400000001,12215.712,90602.966,177255.75100000005,34.545,58.455,-0.4,4.5,3.2
136,2018-01-05,제주시,이호동,67803.25099999999,7149.299,69393.968,144346.518,25.222,21.889,4.2,4.0,3.1
137,2018-01-05,제주시,조천읍,402023.516,47158.812999999995,246630.73100000003,695813.06,50.2,48.857,1.033,2.5,3.767
138,2018-01-05,제주시,애월읍,736701.038,81368.041,476862.76,1294931.8390000002,51.359,54.207,-2.725,3.0,3.575
139,2018-01-05,서귀포시,동홍동,381700.25,35141.413,165647.228,582488.8910000001,39.381,31.524,5.8,4.5,2.4
140,2018-01-05,서귀포시,중문동,163945.99300000002,14357.828000000001,111548.584,289852.405,49.111,42.556,-4.0,3.0,3.1
141,2018-01-05,서귀포시,성산읍,279620.11699999997,21191.542,198974.19,499785.848,47.609,56.957,3.7,3.0,4.4
142,2018-01-05,제주시,삼도2동,100922.64300000001,13081.175,129763.945,243767.763,27.0,18.333,2.2,3.5,2.4
143,2018-01-05,제주시,이도2동,1230332.096,174337.62,635015.195,2039684.9109999998,27.923,39.808,2.2,3.5,2.4
144,2018-01-05,서귀포시,천지동,69067.467,5129.346,66237.338,140434.15099999998,47.789,26.789,5.8,4.5,2.4
145,2018-01-05,제주시,이도1동,156803.294,35911.274,183705.583,376420.15,32.0,22.875,2.2,3.5,2.4
146,2018-01-05,서귀포시,서홍동,119362.28199999999,7789.655,77515.443,204667.38,37.778,28.778,5.8,4.5,2.4
147,2018-01-05,서귀포시,효돈동,88702.329,5733.096,35614.645,130050.07,39.533,20.133,1.875,2.75,3.875
148,2018-01-05,제주시,용담2동,240663.38600000003,53913.14,267967.124,562543.65,27.727,30.909,2.2,3.5,2.4
149,2018-01-05,제주시,삼양동,431964.727,21357.097999999998,101817.981,555139.806,30.429,18.143,1.033,2.5,3.767
150,2018-01-05,서귀포시,정방동,47431.50900000001,9310.976999999999,97304.284,154046.77,60.375,28.375,5.8,4.5,2.4
151,2018-01-05,서귀포시,중앙동,43551.432,12618.75,113463.03300000001,169633.215,60.0,32.0,5.8,4.5,2.4
