일자,시도명,읍면동명,거주인구,근무인구,방문인구,총 유동인구,평균 속도,평균 소요 시간,평균 기온,일강수량,평균 풍속,교통량
2018-01-01,서귀포시,남원읍,291408.897,18744.131,219588.857,529741.884,53,40.571,2.35,0,3.325,76.2
2018-01-01,제주시,도두동,32249.987,3418.266,102709.092,138377.345,39.556,29.167,5,0,2.5,1297.889
2018-01-01,제주시,외도동,213500.997,10341.172,112692.789,336534.958,32.9,30.9,5,0,2.5,862.4
2018-01-01,제주시,노형동,1215420.248,74964.858,445735.329,1736120.435,38.563,30.655,-2.3,0,1.1,1291.184
2018-01-01,제주시,구좌읍,276220.023,17542.105,248104.122,541866.25,53.188,40.719,5.9,0,4.1,0
2018-01-01,제주시,용담1동,159129.79,9363.622,101939.586,270432.998,35.833,14,2.9,0,2.4,610.167
2018-01-01,제주시,건입동,174544.301,19772.091,191560.904,385877.295,33.6,43.4,0.8,0,2.6,393.4
2018-01-01,제주시,용담2동,251966.838,44610.527,289235.033,585812.398,30.727,27.364,2.9,0,2.4,641.818
2018-01-01,서귀포시,효돈동,91129.741,4398.469,45366.822,140895.032,40.667,19.467,2.35,0,3.325,0
2018-01-01,서귀포시,표선면,197549.108,15737.64,189522.682,402809.43,49.114,34.429,4.8,0,3.1,0
2018-01-01,제주시,이도1동,157252.422,17885.87,166599.678,341737.97,34.375,19,2.9,0,2.4,938.125
2018-01-01,서귀포시,천지동,68974.523,3660.825,63430.316,136065.664,48.421,26.211,4.9,0,1.9,0
2018-01-01,제주시,이도2동,1212382.218,96920.834,541194.481,1850497.533,29.538,35.692,2.9,0,2.4,280.538
2018-01-01,서귀포시,중앙동,43942.828,9546.455,94766.72,148256.003,60.857,31.571,4.9,0,1.9,0
2018-01-01,서귀포시,중문동,168209.748,12244.719,130876.307,311330.774,49.667,42.556,-2.7,0,3.2,0
2018-01-01,제주시,이호동,74721.497,4542.299,84105.42,163369.216,28,18.444,5,0,2.5,0
2018-01-01,서귀포시,정방동,49091.055,8457.47,112758.325,170306.85,61.25,28,4.9,0,1.9,0
2018-01-01,제주시,일도1동,33991.653,6034.253,72155.919,112181.825,30,23.5,2.9,0,2.4,0
2018-01-01,제주시,화북동,598089.251,24069.487,191535.629,813694.368,35.077,30.192,1.967,0,3.367,1126.077
2018-01-01,서귀포시,대정읍,385419.306,16536.359,161422.712,563378.377,54.632,42.579,6.633,0,6.367,394.789
2018-01-01,서귀포시,대천동,155036.925,9403.969,150882.409,315323.303,41.583,14.375,5.1,0,2.3,0
2018-01-01,서귀포시,동홍동,372744.391,26351.698,160768.257,559864.346,39.667,30.476,4.9,0,1.9,0
2018-01-01,제주시,한림읍,446310.336,26515.501,203424.877,676250.715,50.458,62.653,4.45,0,3.4,0
2018-01-01,서귀포시,서홍동,119524.383,5616.131,77338.336,202478.851,38.222,28,4.9,0,1.9,0
2018-01-01,제주시,오라동,303847.494,22012.207,250576.347,576436.049,35.5,45.188,2.9,0,2.4,200.75
2018-01-01,제주시,한경면,129495.528,7366.742,78477.173,215339.443,51.929,44.643,4.45,0,3.4,479.036
2018-01-01,서귀포시,송산동,208450.018,14082.388,102708.218,325240.624,46.805,29.683,4.9,0,1.9,95.073
2018-01-01,제주시,조천읍,425840.306,31366.81,338337.205,795544.32,51.629,47.429,1.967,0,3.367,0
2018-01-01,서귀포시,안덕면,252460.823,32863.286,264398.105,549722.213,51,45.286,5.1,0,3.1,0
