date,mosquito_ratio
2016-05-01,254.4
2016-05-25,609.6
2016-06-06,581.5
2016-06-09,604.9
2016-06-10,604.9
2016-06-26,755.0
2016-06-30,720.9
2016-07-10,510.9
2016-07-12,454.5
2016-07-14,426.3
2016-07-15,409.5
2016-07-18,471.1
2016-07-19,497.8
2016-07-20,496.6
2016-07-21,482.4
2016-07-22,478.9
2016-07-25,397.9
2016-07-26,376.1
2016-07-28,373.0
2016-07-29,372.9
2016-08-03,379.6
2016-08-06,346.8
2016-08-09,332.1
2016-08-17,335.9
2016-08-20,337.5
2016-08-21,338.9
2016-08-31,524.2
2016-09-06,640.6
2016-09-10,815.9
2016-09-14,743.2
2016-09-15,743.2
2016-09-22,551.5
2016-09-25,478.6
2016-10-02,501.2
2016-10-05,461.7
2016-10-08,439.9
2016-10-11,265.4
2016-10-18,232.7
2016-10-20,260.4
2016-10-30,137.0
2016-11-05,8.6
2016-11-06,11.1
2016-11-14,14.8
2016-11-16,25.1
2016-11-20,22.3
2016-11-21,18.9
2016-11-29,2.1
2016-12-04,3.5
2016-12-12,2.0
2016-12-13,1.7
2016-12-15,1.9
2016-12-23,5.2
2017-01-05,2.1
2017-01-07,4.1
2017-01-08,4.7
2017-01-10,4.7
2017-01-12,2.6
2017-01-18,0.3
2017-01-22,0.5
2017-01-25,0.3
2017-01-29,0.3
2017-02-01,0.6
2017-02-03,0.6
2017-02-04,0.7
2017-02-10,1.2
2017-02-22,1.8
2017-02-25,1.2
2017-03-03,3.3
2017-03-11,2.9
2017-03-17,8.8
2017-03-24,14.7
2017-03-25,15.1
2017-03-31,11.6
2017-04-01,11.8
2017-04-03,12.1
2017-04-05,18.4
2017-04-09,31.8
2017-04-16,62.1
2017-04-18,64.7
2017-04-22,55.4
2017-04-29,65.4
2017-04-30,68.6
2017-05-07,517.2
2017-05-11,217.2
2017-05-22,245.9
2017-05-24,455.7
2017-06-03,516.5
2017-06-11,422.0
2017-06-14,464.1
2017-06-16,489.3
2017-06-19,555.9
2017-06-24,1000.0
2017-06-25,1000.0
2017-06-26,1000.0
2017-06-28,1000.0
2017-06-29,1000.0
2017-07-01,754.1
2017-07-08,882.1
2017-07-11,921.8
2017-07-12,911.9
2017-07-15,935.0
2017-07-18,952.7
2017-07-24,1000.0
2017-07-29,1000.0
2017-08-12,252.1
2017-08-16,433.8
2017-08-20,482.6
2017-08-27,541.1
2017-08-30,253.8
2017-08-31,204.0
2017-09-03,455.7
2017-09-04,460.7
2017-09-12,443.9
2017-09-14,494.3
2017-09-16,459.0
2017-09-21,500.7
2017-09-22,497.7
2017-09-24,413.6
2017-09-25,415.3
2017-09-28,519.4
2017-10-02,277.4
2017-10-05,181.6
2017-10-08,185.0
2017-10-09,199.0
2017-10-10,207.9
2017-10-13,177.7
2017-10-14,86.6
2017-10-18,66.5
2017-10-20,69.8
2017-10-24,97.2
2017-11-04,5.5
2017-11-10,5.5
2017-11-11,5.5
2017-11-16,5.5
2017-11-20,5.5
2017-12-11,5.5
2017-12-12,5.5
2017-12-13,5.5
2017-12-18,5.5
2017-12-20,5.5
2017-12-21,5.5
2017-12-28,5.5
2017-12-30,5.5
2017-12-31,5.5
2018-01-01,5.5
2018-01-12,5.5
2018-01-15,5.5
2018-01-17,5.5
2018-01-20,5.5
2018-01-25,5.5
2018-01-28,5.5
2018-02-10,5.5
2018-02-14,5.5
2018-02-15,5.5
2018-02-17,5.5
2018-02-19,5.5
2018-02-25,5.5
