date,mosquito_ratio
2019-12-31,5.5
2019-12-30,5.5
2019-12-29,5.5
2019-12-27,5.5
2019-12-25,5.5
2019-12-25,5.5
2019-12-24,5.5
2019-12-22,5.5
2019-12-21,5.5
2019-12-20,5.5
2019-12-18,5.5
2019-12-17,5.5
2019-12-16,5.5
2019-12-15,5.5
2019-12-13,5.5
2019-12-12,5.5
2019-12-11,5.5
2019-12-10,5.5
2019-12-08,5.5
2019-12-07,5.5
2019-12-06,5.5
2019-12-05,5.5
2019-12-04,5.5
2019-12-03,5.5
2019-12-02,5.5
2019-12-01,5.5
2019-11-30,5.5
2019-11-29,5.5
2019-11-28,5.5
2019-11-27,5.5
2019-11-24,5.5
2019-11-23,5.5
2019-11-22,5.5
2019-11-21,5.5
2019-11-20,5.5
2019-11-19,5.5
2019-11-18,5.5
2019-11-17,5.5
2019-11-16,5.5
2019-11-15,5.5
2019-11-13,5.5
2019-11-12,5.5
2019-11-10,5.5
2019-11-09,5.5
2019-11-08,5.5
2019-11-07,5.5
2019-11-06,5.5
2019-11-05,5.5
2019-11-03,5.5
2019-11-02,5.5
2019-11-01,5.5
2019-10-30,36.3
2019-10-29,38.5
2019-10-28,39.1
2019-10-27,72.1
2019-10-26,179.9
2019-10-25,178.8
2019-10-23,120.7
2019-10-21,106.7
2019-10-20,108.4
2019-10-19,110.1
2019-10-18,112.9
2019-10-17,111.2
2019-10-14,84.9
2019-10-13,87.2
2019-10-12,88.3
2019-10-10,100.0
2019-10-09,191.7
2019-10-08,417.0
2019-10-07,581.5
2019-10-05,930.6
2019-10-04,929.5
2019-10-03,874.4
2019-10-02,798.3
2019-10-01,748.0
2019-09-28,472.5
2019-09-27,406.9
2019-09-26,374.9
2019-09-25,361.5
2019-09-24,408.6
2019-09-23,438.8
2019-09-21,535.2
2019-09-17,551.0
2019-09-14,553.9
2019-09-13,529.3
2019-09-12,605.1
2019-09-11,615.0
2019-09-10,585.4
2019-09-07,574.6
2019-09-06,557.9
2019-09-03,598.2
2019-09-02,623.9
2019-09-01,623.9
2019-08-31,440.5
2019-08-30,465.8
2019-08-28,363.2
2019-08-26,331.2
2019-08-25,422.0
2019-08-24,380.0
2019-08-23,378.3
2019-08-22,381.7
2019-08-21,300.9
2019-08-20,252.1
2019-08-18,253.8
2019-08-17,231.9
2019-08-16,201.2
2019-08-15,155.4
2019-08-14,179.4
2019-08-13,179.4
2019-08-11,138.6
2019-08-10,0.0
2019-08-07,0.0
2019-08-06,0.0
2019-08-05,0.0
2019-08-03,433.8
2019-08-01,568.7
2019-07-31,994.6
2019-07-30,1000.0
2019-07-29,990.2
2019-07-28,976.9
2019-07-27,964.8
2019-07-26,1000.0
2019-07-25,1000.0
2019-07-24,1000.0
2019-07-23,943.8
2019-07-22,903.0
2019-07-21,906.3
2019-07-20,872.2
2019-07-19,765.2
2019-07-18,716.4
2019-07-16,704.6
2019-07-15,701.7
2019-07-14,691.8
2019-07-13,726.3
2019-07-12,713.5
2019-07-11,731.2
2019-07-10,779.5
2019-07-09,808.2
2019-07-08,808.2
2019-07-07,778.4
2019-07-06,716.4
2019-07-05,713.5
2019-07-04,713.5
2019-07-01,713.5
2019-06-30,1000.0
2019-06-29,1000.0
2019-06-28,993.5
2019-06-19,457.3
2019-06-18,418.7
2019-06-17,596.3
2019-06-14,448.9
2019-06-13,464.1
2019-06-12,341.3
2019-06-11,406.9
2019-06-09,438.8
2019-06-08,366.5
2019-06-07,400.2
2019-06-05,513.5
2019-06-04,585.4
2019-06-03,637.6
2019-06-02,595.3
2019-06-01,571.6
2019-05-30,364.8
2019-05-29,221.3
2019-05-28,216.8
2019-05-27,210.1
2019-05-26,279.1
2019-05-25,528.3
2019-05-24,646.5
2019-05-23,643.6
2019-05-22,227.5
2019-05-21,294.2
2019-05-17,349.7
2019-05-15,192.8
2019-05-14,128.5
2019-05-11,126.8
2019-05-10,141.9
2019-05-09,158.1
2019-05-08,107.3
2019-05-07,116.2
2019-05-06,107.8
2019-05-05,72.1
2019-05-04,6.7
2019-05-03,1.6
2019-05-02,1.1
2019-04-29,0.0
2019-04-28,0.0
2019-04-26,0.0
2019-04-25,0.0
2019-04-24,0.0
2019-04-22,11.7
2019-04-21,10.0
2019-04-20,9.5
2019-04-19,10.6
2019-04-14,13.9
2019-04-13,15.6
2019-04-12,14.5
2019-04-11,8.3
2019-04-10,3.3
2019-04-09,2.7
2019-04-08,1.1
2019-04-06,2.2
2019-04-05,2.7
2019-04-04,2.7
2019-04-03,2.2
2019-04-02,1.6
2019-04-01,6.7
2019-03-31,5.5
2019-03-30,5.5
2019-03-28,5.5
2019-03-27,5.5
2019-03-26,5.5
2019-03-24,5.5
2019-03-23,5.5
2019-03-22,5.5
2019-03-21,5.5
2019-03-20,5.5
2019-03-18,5.5
2019-03-17,5.5
2019-03-16,5.5
2019-03-14,5.5
2019-03-13,5.5
2019-03-12,5.5
2019-03-11,5.5
2019-03-10,5.5
2019-03-09,5.5
2019-03-08,5.5
2019-03-07,5.5
2019-03-06,5.5
2019-03-05,5.5
2019-03-04,5.5
2019-03-03,5.5
2019-03-02,5.5
2019-03-01,5.5
2019-02-28,5.5
2019-02-26,5.5
2019-02-25,5.5
2019-02-24,5.5
2019-02-23,5.5
2019-02-21,5.5
2019-02-20,5.5
2019-02-19,5.5
2019-02-18,5.5
2019-02-17,5.5
2019-02-16,5.5
2019-02-15,5.5
2019-02-14,5.5
2019-02-13,5.5
2019-02-12,5.5
2019-02-11,5.5
2019-02-10,5.5
2019-02-09,5.5
2019-02-08,5.5
2019-02-06,5.5
2019-02-05,5.5
2019-02-04,5.5
2019-02-03,5.5
2019-01-30,5.5
2019-01-29,5.5
2019-01-28,5.5
2019-01-27,5.5
2019-01-26,5.5
2019-01-24,5.5
2019-01-23,5.5
2019-01-22,5.5
2019-01-19,5.5
2019-01-16,5.5
2019-01-15,5.5
2019-01-14,5.5
2019-01-12,5.5
2019-01-11,5.5
2019-01-10,5.5
2019-01-09,5.5
2019-01-07,5.5
2019-01-05,5.5
2019-01-04,5.5
2019-01-02,5.5
2019-01-01,5.5
2018-12-31,5.5
2018-12-30,5.5
2018-12-28,5.5
2018-12-27,5.5
2018-12-26,5.5
2018-12-25,5.5
2018-12-24,5.5
2018-12-23,5.5
2018-12-20,5.5
2018-12-19,5.5
2018-12-18,5.5
2018-12-17,5.5
2018-12-16,5.5
2018-12-14,5.5
2018-12-13,5.5
2018-12-12,5.5
2018-12-11,5.5
2018-12-10,5.5
2018-12-09,5.5
2018-12-07,5.5
2018-12-06,5.5
2018-12-05,5.5
2018-12-04,5.5
2018-12-03,5.5
2018-12-02,5.5
2018-12-01,5.5
2018-11-30,5.5
2018-11-29,5.5
2018-11-27,5.5
2018-11-26,5.5
2018-11-22,5.5
2018-11-20,5.5
2018-11-19,5.5
2018-11-18,5.5
2018-11-17,5.5
2018-11-08,5.5
2018-10-26,62.6
2018-10-22,63.7
2018-10-19,39.1
2018-10-16,38.0
2018-10-15,38.0
2018-10-08,155.4
2018-10-07,157.6
2018-10-06,163.2
2018-10-05,167.1
2018-10-04,167.7
2018-10-02,191.1
2018-09-28,518.5
2018-09-27,518.5
2018-09-25,422.0
2018-09-24,391.7
2018-09-23,363.2
2018-09-22,405.2
2018-09-21,447.3
2018-09-20,515.5
2018-09-19,520.4
2018-09-18,508.6
2018-09-17,517.5
2018-09-16,543.1
2018-09-15,522.4
2018-09-14,489.3
2018-09-13,514.5
2018-09-11,530.3
2018-09-10,544.1
2018-09-08,580.5
2018-09-05,664.2
2018-09-04,645.5
2018-09-03,599.2
2018-09-02,527.3
2018-09-01,508.6
2018-08-31,513.5
2018-08-30,479.2
2018-08-29,396.8
2018-08-28,351.4
2018-08-27,237.0
2018-08-25,257.2
2018-08-23,195.6
2018-08-21,116.2
2018-08-20,105.6
2018-08-19,98.3
2018-08-18,89.9
2018-08-17,82.1
2018-08-16,91.6
2018-08-15,97.2
2018-08-14,102.8
2018-08-13,96.7
2018-08-11,111.8
2018-08-10,87.7
2018-08-09,69.3
2018-08-06,53.1
2018-08-05,50.3
2018-08-03,50.8
2018-08-01,81.0
2018-07-31,1000.0
2018-07-30,1000.0
2018-07-29,1000.0
2018-07-28,1000.0
2018-07-27,1000.0
2018-07-25,1000.0
2018-07-24,1000.0
2018-07-23,1000.0
2018-07-22,1000.0
2018-07-21,1000.0
2018-07-20,1000.0
2018-07-19,1000.0
2018-07-18,1000.0
2018-07-17,739.1
2018-07-16,669.2
2018-07-15,536.2
2018-07-13,540.1
2018-07-12,539.1
2018-07-11,533.2
2018-07-10,524.4
2018-07-09,524.4
2018-07-07,739.1
2018-07-05,602.2
2018-07-04,614.0
2018-07-03,637.6
2018-07-02,615.0
2018-07-01,602.2
2018-06-29,817.0
2018-06-27,974.7
2018-06-26,1000.0
2018-06-25,969.2
2018-06-24,793.8
2018-06-23,654.4
2018-06-22,610.1
2018-06-21,460.7
2018-06-20,470.8
2018-06-18,395.1
2018-06-15,415.3
2018-06-13,465.8
2018-06-11,563.8
2018-06-10,566.7
2018-06-09,576.6
2018-06-08,613.0
2018-06-08,613.0
2018-06-07,644.5
2018-06-06,564.8
2018-06-05,508.6
